Team,Points,wins,Losess,Drew,Goals Scored,Goals Against,Goal Difference,Goals per game,Goals Against per game,Goals Against points
Bayern Munich,91,29,1,4,98,18,80,2.8823529411764706,0.5294117647058824,1.0769230769230769
Dortmund,66,19,6,9,81,42,39,2.3823529411764706,1.2352941176470589,1.2272727272727273
Leverkusen,65,19,7,8,65,39,26,1.911764705882353,1.1470588235294117,1.0
Schalke 04,55,16,11,7,58,50,8,1.7058823529411764,1.4705882352941178,1.0545454545454545
Ein Frankfurt,51,14,11,9,49,46,3,1.4411764705882353,1.3529411764705883,0.9607843137254902
Freiburg,51,14,11,9,45,40,5,1.3235294117647058,1.1764705882352942,0.8823529411764706
Hamburg,48,14,14,6,42,53,-11,1.2352941176470589,1.5588235294117647,0.875
M'gladbach,47,12,11,11,45,49,-4,1.3235294117647058,1.4411764705882353,0.9574468085106383
Hannover,45,13,15,6,60,62,-2,1.7647058823529411,1.8235294117647058,1.3333333333333333
Nurnberg,44,11,12,11,39,47,-8,1.1470588235294117,1.3823529411764706,0.8863636363636364
Stuttgart,43,12,15,7,37,55,-18,1.088235294117647,1.6176470588235294,0.8604651162790697
Wolfsburg,43,10,11,13,47,52,-5,1.3823529411764706,1.5294117647058822,1.0930232558139534
Mainz,42,10,12,12,42,44,-2,1.2352941176470589,1.2941176470588236,1.0
Werder Bremen,34,8,16,10,50,66,-16,1.4705882352941178,1.9411764705882353,1.4705882352941178
Augsburg,33,8,17,9,33,51,-18,0.9705882352941176,1.5,1.0
Hoffenheim,31,8,19,7,42,67,-25,1.2352941176470589,1.9705882352941178,1.3548387096774193
Fortuna Dusseldorf,30,7,18,9,39,57,-18,1.1470588235294117,1.6764705882352942,1.3
Greuther Furth,21,4,21,9,26,60,-34,0.7647058823529411,1.7647058823529411,1.2380952380952381
