Team,Home Wins,Away Wins,Drew,Home Losses,Away Losess,Home Goals,Away Goals,goals against H,goals against A
Augsburg,9,6,4,4,11,28,15,21,22
Bayern Munich,14,11,4,2,3,46,34,7,11
Dortmund,9,4,7,5,9,26,21,15,27
Ein Frankfurt,9,2,10,3,10,36,20,26,36
FC Koln,4,5,13,4,8,18,16,17,23
Freiburg,5,2,13,6,8,21,15,22,25
Hamburg,6,3,8,6,11,16,9,18,32
Hannover,6,3,10,7,8,21,19,25,31
Hertha,6,3,8,7,10,17,19,22,30
Hoffenheim,9,3,8,5,9,31,18,26,29
Leverkusen,10,7,10,1,6,39,23,15,22
M'gladbach,12,7,9,2,4,32,21,14,12
Mainz,6,3,13,5,7,27,18,19,28
Paderborn,4,3,10,7,10,21,10,31,34
Schalke 04,10,3,9,2,10,26,16,14,26
Stuttgart,5,4,9,8,8,18,24,28,32
Werder Bremen,8,3,10,5,8,25,25,24,41
Wolfsburg,13,7,9,0,5,38,34,13,25
