Team,Home Wins,Away Wins,Drew,Home Losses,Away Losess,Home Goals,Away Goals,goals against H,goals against A
Bayern Munich,12,8,10,1,3,39,33,13,18
Bochum,2,4,10,9,9,18,15,35,29
Dortmund,10,6,9,3,6,29,25,14,28
Ein Frankfurt,7,5,10,5,7,25,22,26,28
FC Koln,3,6,11,8,6,18,15,29,13
Freiburg,5,4,8,8,9,14,21,26,33
Hamburg,8,5,13,3,5,25,31,12,29
Hannover,5,4,6,8,11,27,16,33,34
Hertha,1,4,9,10,10,10,24,26,30
Hoffenheim,5,6,9,6,8,26,18,20,22
Leverkusen,11,4,14,1,4,37,28,14,24
M'gladbach,8,2,9,4,11,25,18,22,38
Mainz,9,3,11,2,9,22,14,14,28
Nurnberg,5,3,7,8,11,18,14,23,35
Schalke 04,11,8,8,4,3,29,24,15,16
Stuttgart,8,7,10,4,5,28,23,21,20
Werder Bremen,8,9,10,3,4,34,37,21,19
Wolfsburg,7,7,8,8,4,39,25,39,19
