Team,Home Wins,Away Wins,Drew,Home Losses,Away Losess,Home Goals,Away Goals,goals against H,goals against A
Augsburg,9,6,7,5,7,27,20,22,25
Bayern Munich,15,14,3,1,1,48,46,15,8
Braunschweig,5,1,7,9,12,18,11,24,36
Dortmund,11,11,5,4,3,41,39,19,19
Ein Frankfurt,5,4,9,7,9,22,18,24,33
Freiburg,6,3,9,7,9,25,18,30,31
Hamburg,5,2,6,9,12,24,27,34,41
Hannover,8,4,6,4,12,27,19,25,34
Hertha,6,5,8,8,7,20,20,24,24
Hoffenheim,7,4,11,4,8,43,29,31,39
Leverkusen,10,9,4,4,7,35,25,22,19
M'gladbach,11,5,7,3,8,38,21,17,26
Mainz,10,6,5,4,9,28,24,17,37
Nurnberg,3,2,11,9,9,16,21,32,38
Schalke 04,12,7,7,3,5,37,26,16,27
Stuttgart,5,3,8,8,10,28,21,28,34
Werder Bremen,6,4,9,5,10,21,21,30,36
Wolfsburg,11,7,6,3,7,37,26,22,28
