Team,Home Wins,Away Wins,Drew,Home Losses,Away Losess,Home Goals,Away Goals,goals against H,goals against A
Augsburg,1,0,2,2,0,2,0,8,0
Bayern Munich,3,1,1,0,0,15,5,2,2
Bielefeld,0,0,4,0,1,1,2,1,4
Bochum,1,0,0,1,3,3,1,3,10
Dortmund,3,1,0,0,1,12,5,6,5
Ein Frankfurt,0,0,4,0,1,1,4,1,7
FC Koln,2,0,2,0,1,6,3,3,4
Freiburg,1,1,3,0,0,3,3,2,2
Greuther Furth,0,0,1,1,3,1,2,3,10
Hertha,1,1,0,1,2,3,4,3,9
Hoffenheim,0,1,2,1,1,2,6,4,3
Leverkusen,1,2,1,1,0,7,8,4,3
M'gladbach,1,0,1,0,3,4,1,2,7
Mainz,2,1,1,0,1,4,2,0,2
RB Leipzig,1,0,1,1,2,5,1,4,3
Stuttgart,1,0,1,2,1,8,1,7,5
Union Berlin,1,0,3,0,1,3,4,2,6
Wolfsburg,2,2,1,0,0,3,4,1,1
