Team,Points,wins,Losess,Drew,Goals Scored,Goals Against,Goal Difference,Goals per game,Goals Against per game,Goals per point
Bayern Munich,13,4,0,1,20,4,16,0.5882352941176471,0.11764705882352941,1.5384615384615385
Wolfsburg,13,4,0,1,7,2,5,0.20588235294117646,0.058823529411764705,0.5384615384615384
Dortmund,12,4,1,0,17,11,6,0.5,0.3235294117647059,1.4166666666666667
Leverkusen,10,3,1,1,15,7,8,0.4411764705882353,0.20588235294117646,1.5
Mainz,10,3,1,1,6,2,4,0.17647058823529413,0.058823529411764705,0.6
Freiburg,9,2,0,3,6,4,2,0.17647058823529413,0.11764705882352941,0.6666666666666666
FC Koln,8,2,1,2,9,7,2,0.2647058823529412,0.20588235294117646,1.125
Hertha,6,2,3,0,7,12,-5,0.20588235294117646,0.35294117647058826,1.1666666666666667
Union Berlin,6,1,1,3,7,8,-1,0.20588235294117646,0.23529411764705882,1.1666666666666667
Augsburg,5,1,2,2,2,8,-6,0.058823529411764705,0.23529411764705882,0.4
Hoffenheim,5,1,2,2,8,7,1,0.23529411764705882,0.20588235294117646,1.6
Bielefeld,4,0,1,4,3,5,-2,0.08823529411764706,0.14705882352941177,0.75
Ein Frankfurt,4,0,1,4,5,8,-3,0.14705882352941177,0.23529411764705882,1.25
M'gladbach,4,1,3,1,5,9,-4,0.14705882352941177,0.2647058823529412,1.25
RB Leipzig,4,1,3,1,6,7,-1,0.17647058823529413,0.20588235294117646,1.5
Stuttgart,4,1,3,1,9,12,-3,0.2647058823529412,0.35294117647058826,2.25
Bochum,3,1,4,0,4,13,-9,0.11764705882352941,0.38235294117647056,1.3333333333333333
Greuther Furth,1,0,4,1,3,13,-10,0.08823529411764706,0.38235294117647056,3.0
