Team,Points,wins,Losess,Drew,Goals Scored,Goals Against,Goal Difference,Goals per game,Goals Against per game,Goals per point
Dortmund,81,25,3,6,80,25,55,2.3529411764705883,0.7352941176470589,0.9876543209876543
Bayern Munich,73,23,7,4,77,22,55,2.264705882352941,0.6470588235294118,1.0547945205479452
Schalke 04,64,20,10,4,74,44,30,2.176470588235294,1.2941176470588236,1.15625
M'gladbach,60,17,8,9,49,24,25,1.4411764705882353,0.7058823529411765,0.8166666666666667
Leverkusen,54,15,10,9,52,44,8,1.5294117647058822,1.2941176470588236,0.9629629629629629
Stuttgart,53,15,11,8,63,46,17,1.8529411764705883,1.3529411764705883,1.1886792452830188
Hannover,48,12,10,12,41,45,-4,1.2058823529411764,1.3235294117647058,0.8541666666666666
Wolfsburg,44,13,16,5,47,60,-13,1.3823529411764706,1.7647058823529411,1.0681818181818181
Nurnberg,42,12,16,6,38,49,-11,1.1176470588235294,1.4411764705882353,0.9047619047619048
Werder Bremen,42,11,14,9,49,58,-9,1.4411764705882353,1.7058823529411764,1.1666666666666667
Hoffenheim,41,10,13,11,41,47,-6,1.2058823529411764,1.3823529411764706,1.0
Freiburg,40,10,14,10,45,61,-16,1.3235294117647058,1.7941176470588236,1.125
Mainz,39,9,13,12,47,51,-4,1.3823529411764706,1.5,1.205128205128205
Augsburg,38,8,12,14,36,49,-13,1.0588235294117647,1.4411764705882353,0.9473684210526315
Hamburg,36,8,14,12,35,57,-22,1.0294117647058822,1.6764705882352942,0.9722222222222222
Hertha,31,7,17,10,38,64,-26,1.1176470588235294,1.8823529411764706,1.2258064516129032
FC Koln,30,8,20,6,39,75,-36,1.1470588235294117,2.2058823529411766,1.3
Kaiserslautern,23,4,19,11,24,54,-30,0.7058823529411765,1.588235294117647,1.0434782608695652
