Team,Home Wins,Away Wins,Drew,Home Losses,Away Losess,Home Goals,Away Goals,goals against H,goals against A
Augsburg,1,0,2,2,2,2,1,8,5
Bayern Munich,3,2,1,1,0,16,8,4,3
Bielefeld,0,0,4,1,2,1,2,5,5
Bochum,1,0,1,1,4,3,1,3,13
Dortmund,4,1,0,0,2,14,5,7,6
Ein Frankfurt,0,1,5,0,1,2,6,2,8
FC Koln,3,0,3,0,1,9,4,4,5
Freiburg,2,2,3,0,0,6,5,2,3
Greuther Furth,0,0,1,2,4,2,3,6,13
Hertha,1,1,0,2,3,4,4,5,15
Hoffenheim,1,1,2,1,2,5,7,5,6
Leverkusen,2,3,1,1,0,8,12,4,3
M'gladbach,2,1,1,0,3,5,4,2,8
Mainz,2,1,1,1,2,5,2,2,3
RB Leipzig,3,0,1,1,2,14,1,4,3
Stuttgart,2,0,2,2,1,11,1,8,5
Union Berlin,2,1,3,0,1,4,6,2,7
Wolfsburg,2,2,1,1,1,4,5,4,4
