Team,Home Wins,Away Wins,Drew,Home Losses,Away Losess,Home Goals,Away Goals,goals against H,goals against A
Augsburg,5,3,8,8,10,34,17,33,38
Bayern Munich,13,11,6,1,3,49,39,14,18
Dortmund,14,9,7,1,3,52,29,25,19
Ein Frankfurt,8,7,9,5,5,32,28,21,27
Fortuna Dusseldorf,9,4,5,8,8,27,22,28,37
Freiburg,6,2,12,4,10,32,14,27,34
Hannover,5,0,6,11,12,15,16,26,45
Hertha,6,5,10,5,8,26,23,27,30
Hoffenheim,7,6,12,5,4,28,42,20,32
Leverkusen,9,9,4,6,6,32,37,25,27
M'gladbach,9,7,7,5,6,31,24,22,20
Mainz,8,4,7,4,11,31,15,22,35
Nurnberg,3,0,10,7,14,16,10,22,46
RB Leipzig,10,9,9,1,5,34,29,9,20
Schalke 04,4,4,9,10,7,16,21,28,27
Stuttgart,6,1,7,7,13,22,10,27,43
Werder Bremen,8,6,11,3,6,35,23,26,23
Wolfsburg,8,8,7,4,7,36,26,23,27
