Team,Points,wins,Losess,Drew,Goals Scored,Goals Against,Goal Difference,Goals per game,Goals Against per game,Goals Against points
Bayern Munich,78,24,4,6,88,32,56,2.588235294117647,0.9411764705882353,1.1282051282051282
Dortmund,76,23,4,7,81,44,37,2.3823529411764706,1.2941176470588236,1.0657894736842106
RB Leipzig,66,19,6,9,63,29,34,1.8529411764705883,0.8529411764705882,0.9545454545454546
Leverkusen,58,18,12,4,69,52,17,2.0294117647058822,1.5294117647058822,1.1896551724137931
M'gladbach,55,16,11,7,55,42,13,1.6176470588235294,1.2352941176470589,1.0
Wolfsburg,55,16,11,7,62,50,12,1.8235294117647058,1.4705882352941178,1.1272727272727272
Ein Frankfurt,54,15,10,9,60,48,12,1.7647058823529411,1.411764705882353,1.1111111111111112
Werder Bremen,53,14,9,11,58,49,9,1.7058823529411764,1.4411764705882353,1.0943396226415094
Hoffenheim,51,13,9,12,70,52,18,2.0588235294117645,1.5294117647058822,1.3725490196078431
Fortuna Dusseldorf,44,13,16,5,49,65,-16,1.4411764705882353,1.911764705882353,1.1136363636363635
Hertha,43,11,13,10,49,57,-8,1.4411764705882353,1.6764705882352942,1.1395348837209303
Mainz,43,12,15,7,46,57,-11,1.3529411764705883,1.6764705882352942,1.069767441860465
Freiburg,36,8,14,12,46,61,-15,1.3529411764705883,1.7941176470588236,1.2777777777777777
Schalke 04,33,8,17,9,37,55,-18,1.088235294117647,1.6176470588235294,1.121212121212121
Augsburg,32,8,18,8,51,71,-20,1.5,2.088235294117647,1.59375
Stuttgart,28,7,20,7,32,70,-38,0.9411764705882353,2.0588235294117645,1.1428571428571428
Hannover,21,5,23,6,31,71,-40,0.9117647058823529,2.088235294117647,1.4761904761904763
Nurnberg,19,3,21,10,26,68,-42,0.7647058823529411,2.0,1.368421052631579
