Team,Home Wins,Away Wins,Drew,Home Losses,Away Losess,Home Goals,Away Goals,goals against H,goals against A
Almeria,8,2,12,5,11,25,18,23,32
Ath Bilbao,11,4,9,4,10,34,16,24,29
Ath Madrid,11,2,8,5,12,37,20,24,37
Barcelona,18,13,6,0,1,57,41,11,13
Espanol,9,2,11,4,12,20,9,17,29
Getafe,11,6,7,4,10,34,24,22,26
La Coruna,9,4,8,6,11,22,13,21,28
Malaga,5,2,16,6,9,21,21,21,27
Mallorca,15,3,8,3,9,42,17,15,29
Osasuna,7,4,10,4,13,21,16,16,30
Real Madrid,18,13,3,1,3,60,42,18,17
Santander,4,5,12,10,7,17,25,32,27
Sevilla,10,9,6,3,10,33,32,18,31
Sp Gijon,7,2,13,5,11,20,16,18,33
Tenerife,8,1,9,5,15,26,14,29,45
Valencia,13,8,8,1,8,34,25,12,28
Valladolid,4,3,15,7,9,23,14,32,30
Villarreal,13,3,8,3,11,35,23,18,39
Xerez,6,2,10,9,11,20,18,29,37
Zaragoza,7,3,11,6,11,27,19,23,41
