Team,Points,wins,Losess,Drew,Goals Scored,Goals Against,Goal Difference,Goals per game,Goals Against per game,Goals per point
Barcelona,96,30,2,6,95,21,74,2.5,0.5526315789473685,0.9895833333333334
Real Madrid,92,29,4,5,102,33,69,2.6842105263157894,0.868421052631579,1.108695652173913
Valencia,71,21,9,8,64,44,20,1.6842105263157894,1.1578947368421053,0.9014084507042254
Villarreal,62,18,12,8,54,44,10,1.4210526315789473,1.1578947368421053,0.8709677419354839
Ath Bilbao,58,18,16,4,59,55,4,1.5526315789473684,1.4473684210526316,1.0172413793103448
Ath Madrid,58,17,14,7,62,53,9,1.631578947368421,1.394736842105263,1.0689655172413792
Sevilla,58,17,14,7,62,61,1,1.631578947368421,1.605263157894737,1.0689655172413792
Espanol,49,15,19,4,46,55,-9,1.2105263157894737,1.4473684210526316,0.9387755102040817
Osasuna,47,13,17,8,45,46,-1,1.1842105263157894,1.2105263157894737,0.9574468085106383
Sp Gijon,47,11,13,14,35,42,-7,0.9210526315789473,1.105263157894737,0.7446808510638298
Malaga,46,13,18,7,54,68,-14,1.4210526315789473,1.7894736842105263,1.173913043478261
Santander,46,12,16,10,41,56,-15,1.0789473684210527,1.4736842105263157,0.8913043478260869
Levante,45,12,17,9,41,52,-11,1.0789473684210527,1.368421052631579,0.9111111111111111
Sociedad,45,14,21,3,49,66,-17,1.2894736842105263,1.736842105263158,1.0888888888888888
Zaragoza,45,12,17,9,40,53,-13,1.0526315789473684,1.394736842105263,0.8888888888888888
Getafe,44,12,18,8,49,60,-11,1.2894736842105263,1.5789473684210527,1.1136363636363635
Mallorca,44,12,18,8,41,56,-15,1.0789473684210527,1.4736842105263157,0.9318181818181818
La Coruna,43,10,15,13,31,47,-16,0.8157894736842105,1.236842105263158,0.7209302325581395
Hercules,35,9,21,8,36,60,-24,0.9473684210526315,1.5789473684210527,1.0285714285714285
Almeria,30,6,20,12,36,70,-34,0.9473684210526315,1.8421052631578947,1.2
