Team,Home Wins,Away Wins,Drew,Home Losses,Away Losess,Home Goals,Away Goals,goals against H,goals against A
Arsenal,13,11,7,1,6,36,32,11,30
Aston Villa,6,4,8,10,10,22,17,29,32
Cardiff,5,2,9,9,13,20,12,35,39
Chelsea,15,10,7,1,5,43,28,11,16
Crystal Palace,8,5,6,8,11,18,15,23,25
Everton,13,8,9,3,5,38,23,19,20
Fulham,5,4,5,11,13,24,16,38,47
Hull,7,3,7,8,13,20,18,21,32
Liverpool,16,10,6,2,4,53,48,18,32
Man City,17,10,5,1,5,63,39,13,24
Man United,9,10,7,7,5,29,35,21,22
Newcastle,8,7,4,8,11,23,20,28,31
Norwich,6,2,9,7,14,17,11,18,44
Southampton,8,7,11,5,7,32,22,23,23
Stoke,10,3,11,3,11,27,18,17,35
Sunderland,5,5,8,11,9,21,20,27,33
Swansea,6,5,9,8,10,33,21,26,28
Tottenham,11,10,6,5,6,30,25,23,28
West Brom,4,3,15,6,10,24,19,27,32
West Ham,7,4,7,9,11,25,15,26,25
