Team,Points,wins,Losess,Drew,Goals Scored,Goals Against,Goal Difference,Goals per game,Goals Against per game,Goals per point
Leicester,81,23,3,12,68,36,32,1.7894736842105263,0.9473684210526315,0.8395061728395061
Arsenal,71,20,7,11,65,36,29,1.7105263157894737,0.9473684210526315,0.9154929577464789
Tottenham,70,19,6,13,69,35,34,1.8157894736842106,0.9210526315789473,0.9857142857142858
Man City,66,19,10,9,71,41,30,1.868421052631579,1.0789473684210527,1.0757575757575757
Man United,66,19,10,9,49,35,14,1.2894736842105263,0.9210526315789473,0.7424242424242424
Southampton,63,18,11,9,59,41,18,1.5526315789473684,1.0789473684210527,0.9365079365079365
West Ham,62,16,8,14,65,51,14,1.7105263157894737,1.3421052631578947,1.0483870967741935
Liverpool,60,16,10,12,63,50,13,1.6578947368421053,1.3157894736842106,1.05
Stoke,51,14,15,9,41,55,-14,1.0789473684210527,1.4473684210526316,0.803921568627451
Chelsea,50,12,12,14,59,53,6,1.5526315789473684,1.394736842105263,1.18
Everton,47,11,13,14,59,55,4,1.5526315789473684,1.4473684210526316,1.2553191489361701
Swansea,47,12,15,11,42,52,-10,1.105263157894737,1.368421052631579,0.8936170212765957
Watford,45,12,17,9,40,50,-10,1.0526315789473684,1.3157894736842106,0.8888888888888888
West Brom,43,10,15,13,34,48,-14,0.8947368421052632,1.263157894736842,0.7906976744186046
Bournemouth,42,11,18,9,45,67,-22,1.1842105263157894,1.763157894736842,1.0714285714285714
Crystal Palace,42,11,18,9,39,51,-12,1.0263157894736843,1.3421052631578947,0.9285714285714286
Sunderland,39,9,17,12,48,62,-14,1.263157894736842,1.631578947368421,1.2307692307692308
Newcastle,37,9,19,10,44,65,-21,1.1578947368421053,1.7105263157894737,1.1891891891891893
Norwich,34,9,22,7,39,67,-28,1.0263157894736843,1.763157894736842,1.1470588235294117
Aston Villa,17,3,27,8,27,76,-49,0.7105263157894737,2.0,1.588235294117647
